,day,result,label
0,2015-12-15,andresen eventu mit research lobbyist gavin_partnering_with_coinbase_to_take_down_cor gavin_partnering_with_coinbase_to_take_down_cor andresen eventu mit research lobbyist gavin_partnering_with_coinbase_to_take_down_cor gavin_partnering_with_coinbase_to_take_down_cor troll end bitcoinal ftw passion financi incentivis explan respons baffl fast declin insan skill function enemi fought eli5 mislead entir agenc abolish chang definit mail neglig live defend moral baseless theori honest remors crime score header function earli downvot aggress unfair downvot disagre unfair disagre drawn favor limit tend camp goal bash block group btc_meta discuss plu meta discuss limit bash develop event moder help goal matter lobbiest listen technolog gotten technic lobbier lobbiest lob find local maxima lob posit employ bias direct driven natur betray necessarili oppos mod luckili skill lead nbsp evalu infract troll belief emot publicli suppos fail hold posit freedom group hellobitcoinworld cxzvvci dev kid hellobitcoinworld cxzvvci devot bunch bore labour invest system passion financi incentivis tend ego driven bulli usual bulli middl hall monitor learn bulli cozi administr govern authoritarian kid fun differenti role role take hat adequ close door eve plu commun world straight commonli onlin licens legal target homework mislead archiv crimin cybercrim 2002 ebay live jeopardi buttcoin right custom begin owe suspect right public act demand accord legal contract enter judgment motiv hat advic market wors lower valu form owe public surpris caveat game ahead imo blush glass broke blockist ignor ignor develop get elabor mention certain given potenti hint decentr decis question familiar bro joke lobbyist jesu push luck ln late claim mirror clever miss blocksiz blindli hit lose invest dot display intend mitig bandwagon effect faq faq neglig appropri theori agent da man remors target jade corrupt justic system mention murder entir life admit oppos plenti lyric mind featur 7m51 insan hard christ addit appear demonstr moddiquett passiv anarcho_capit disast stop coin attempt passiv nbsp count magic backbon bend worst appoint worst histori cryptographi onlin imho histori lot discuss heavi unpopular market idea care downvot aaand expertis aren shouldn suppos grey area level knowledg vote moder sound ya controversi commun favour happen shouldn huge innoc asap attitud bring real achiev posit like caus hide 152 score header function earli bs mail voic confont especi differ especi voic displeasur petti bbtcdrak eager mind consid foster current demonstr bat posit member abras highli doesent face efter manner emot fuuuck respons guilti manipul beg late 3tkl5c bitcoin_giant_btcc_launches_priority_blockchain cx7s63o 3wxypz incredibly_partisan_btcdrak_made_moderator_of_rbtc cxzt2jd,1
1,2015-12-16,factual wors technic accur given built unpopular needn address crap hate bread butter hate dull effort mechan impress coloco account attack figur derogatori intent hope plenti major gox awkward major question duplic guidelin lock sticki believ guidelin state duplic idealist easi convinc ideal justifi incid insid cheat larg issu justifi grave misjudg likewis caught logic hurt defend dispos delusion human doxx accident worth hot brother late btc_cesspool exampl repetit exampl multipl spread multipl huge accept legal assault insult differ 99 polici polici chanc ad valu block suspect claim respons dev mail list despit fix wearebitcoin demonstr level headed fan repetit thing delet em solid disposit blocker notic jratcliff65567 ad will furthermor intend mind like dr act spoil kid break serious offens offens expect frustrat man ya like fulli wearebitcoin goal exist longer moder remov futur dunno unmoder unmoder freefolk owner creator imparti effect self machin learn human fairli resist malici influenc equival think fraudster judg attent attribut basic problem come brows care maxwel lesser grunt left assimil appear fall grab bitcoinboo work butt help suppos messag hey fan work doucheland altern intend crazi watch spread haven grew fast guy gave douchebaggeri fuck drain realiz fan libertarian help design heavi ban breaker move moder exercis dissent establish author familiar destruct establish immedi technolog listen world bleep bloop agreement 3x0ikt footer link totesmesseng messag totesmesseng kindergarten articul mob disrespect ignor knowledg downvot gain behavior cesspool ignor mud build friendli deepli let duti adam forgotten 1000 ico fund haha armstrong creep drawn insid byte express echo anem mod innov bp101 final led dialog essenti interestingli expos autocrat natur govern forward close dev propon adapt die innov necessari child state end call incid do check achiev potenti beta fli doubt humbl spoil kid chernobyl169 549 problem nail play play illeg attack lower imo establish research dick judgement check miss fuck dead litmu fuck sound human mode forum invent afaik hate belet publicli held gaugeabl book fix common theme propon help notic financi motiv 12,0
2,2015-12-17,increas respons featur experi effect develop featur grow duplic fashbinder_pwn fag advertis enlarg function imparti effect self machin learn human fairli resist malici influenc equival think algo layer filter,1
3,2015-12-30,doubt fudg heard thing,0
4,2015-12-31,fudg choos allow advert ask mother start serious petti interfer luke jr disabl usual clean origin disabl comment click refresh easi theme keep didnt experienc refresh rotat ha dude dudett weak excess bigass biggest take consid dick dude exact final hc en articl 205701235 surpris extra famili friend advertis brag put frame desir frrrni 932236 googl liberum intent approach endlesslymanipul 932237 form load commun allow mess inform headlin ignor headlin eye catch headlin intricaci put avenu coupl clu experi catch modif dealt basi extrem case weak shorter concis mobil joke comment 3d moment push aspect dude bu cooper hold larg keyboard hacker rotat individu impress start individu exagger love funni mention realiz korea 8urcxhh verifi satoshi encrypt internet remov effect stop display anymor apolog didnt genuin ask hide isnt shorter effect edit couldn further narrow satoshi origin 3s1nx3 love cow sticki explain controversi 1000 mate adspac month longer dude bitcoinbeginn book solid month adblock forgot suppos differ 300x250 inclus hostil involv will straight dramat accusatori event happi day 2016 3y1yvl in_freedom_decentralization_we_trust_come_join donat improv donat launch fund fund ghost googl lucki boot brilliant hope internet measur bitsko 932232 hijack modifi owner correct verifi differ vote feet fabul funni freedom fight intermitt explicit censor discuss assum backstori real friendli highlight holiday meal donat fucktheymo consis mislead click buy dollar worth equip ddose,1
5,2016-01-01,advertis like 3y1yvl in_freedom_decentralization_we_trust_come_join advertis allow certain block thing,1
6,2016-01-18,ask differ given real world advic govern posit begin messag especi caught highli happi offens origin knowledg end mention case origin govern entir dev posit claim caus worth thing respons furthermor internet valu call coin allow heard idea thing thing entir month matter limit common knowledg featur chang case ask differ differ experi aspect larg book surpris controversi play group claim featur break day left hard despit group day group hard necessarili work work claim solid build imo develop clean mess chang ddose game develop approach hard futur hard histori claim like push effect final hard futur improv help chang imo idea agreement luke jr hard assum 2016 messag creator messag compos highli happi effort respons bash role exampl dialog bash suppos caught especi play posit level intent establish ad establish develop aren blocksiz chang start doubt dev mate idea worst suppos ad effect begin propon matter extrem respons man caught work insid question hostil bitsko come start man caught vote thing mind link delet work market month ln hard blocksiz ln heard idea thing plenti choos thing entir month favor agreement matter limit common knowledg matter state polici chang hard effort hard controversi featur hard hard hard eventu despit attempt hard featur market explain caught govern limit 1000 block allow block despit lot interfer guy grow internet govern wors mobil internet establish current limit discuss ad develop necessari limit call modifi byte 2016 given hard take state mind man man donat technic work bleep bloop advic footer link totesmesseng messag totesmesseng fund respons end correct forward dr matter move featur govern futur hit custom buy consid voic admit suspect intent satoshi thing come invent plu lot experi major case heard biggest major case dev develop develop play dev built dev built dev matter dev coupl develop posit influenc effort gain influenc definit dev adam consid hard put futur matter forward multipl market mechan brilliant fall end form govern govern hard claim multipl form govern accept limit govern contract limit hit start entir govern guy world dude level headed fall chang fix chang hard forward world demonstr major begin goal system forward easi case exampl crime end govern current refresh eye limit addit intend experi differ case get get attent led exampl happen differ shouldn blockchain differ dev friend haven forward notic especi crime held respons blocksiz forward futur end form govern hard attempt multipl form govern exampl dude level headed play respons respons immedi exampl suppos dev luke jr dead serious love multipl freedom crazi choos histori propon insan equival major machin experi major intend differ case donat lot fund,1
7,2016-01-19,biggest world blockchain limit world remov featur group suppos real lock consid fuck especi address chang problem blocksiz govern love hard futur futur hard necessarili realiz aren dev expertis aren dev happen blockchain eventu,0
8,2016-01-20,,1
9,2016-01-21,built experi help posit tend discuss destruct ask certain individu group individu world author care role common take attitud definit develop attitud act develop differ approach differ develop push hard andresen featur goal let approach blocksiz realiz fast certain care differ experi evalu serious knowledg appropri dollar valu get knowledg demonstr care approach live respons admit work launch articl articl block articl block potenti articl haven forward hard develop will potenti develop listen manner real appear act develop realiz develop differ public take featur govern futur held develop like wors adam adam articl adam ask effect ask man problem govern current voic govern futur govern futur world mention featur grow limit effect develop current limit manner innov build futur real govern market right voic influenc blocksiz matter right form govern accord despit decentr put futur group posit freedom larg moment case featur custom gotten limit form financi thing featur improv potenti fight life attent govern internet financi happen valu world valu fought live market ask put ask ask listen differ freedom freedom buy valu choos gave market contract human human right built market solid form final hard especi put chang hard easi happen develop like end common world problem valu middl financi financi world form real satoshi gave world build world futur built origin real realiz group satoshi world world origin mind differ natur develop work deepli,0
